Index	Sentence	Surprisal	PPL
190	to and an.	39.40671730041504	1.3005284989616626e+17
191	might a but for the of.	58.0410590171814	1.61031802787389e+25
192	to a across.	40.96266174316406	6.163933705349422e+17
193	when in the beneath the.	54.064552307128906	3.0195118168364835e+23
194	down on the as the.	50.3924674987793	7.676629210304321e+21
195	as of the for a these.	57.01696157455444	5.782981283473768e+24
196	one of the that will for than or.	70.30002212524414	3.395562171668453e+30
197	may out of because in a.	62.122140884399414	9.53461124215545e+26
198	will up on to.	46.91778612136841	2.3775826101692603e+20
199	the an of the.	43.933879375457764	1.2029328402834876e+19
200	when will by a or that on the.	73.03961563110352	5.256564877460362e+31
201	the will and in when the around.	63.090925216674805	2.512121727510068e+27
202	the a for.	38.266419410705566	4.158098684502782e+16
203	to.	23.695016860961914	19526080314.74314
204	a could within a.	49.61033773422241	3.511526282729562e+21
205	during of and could inside the for.	77.48964786529541	4.5011809536545036e+33
206	in a of the of.	44.45228958129883	2.0201521177850614e+19
207	and.	24.411996841430664	39994062455.536705
208	in the to and.	41.171419620513916	7.594870153704385e+17
209	upon the above a on a.	63.117884159088135	2.5807670172256933e+27
210	the an of above the.	56.823692321777344	4.766680210323136e+24
211	an but.	34.26679611206055	761869282832568.6
212	after up the of the the into a.	70.91862106323242	6.303268279542468e+30
213	this into the at the.	51.3604850769043	2.021041618101017e+22
214	down the.	34.735798835754395	1217771368216228.8
215	the inside the and the.	52.63668441772461	7.241384170214322e+22
216	than the of the the of the.	55.03121376037598	7.938756266676104e+23
217	the that the in.	45.00293588638306	3.503698481236411e+19
218	the the and until the.	50.47369384765625	8.32619771161425e+21
219	to the of how.	39.97951650619507	2.3061279945064083e+17
220	some inside the to.	48.91716766357422	1.7557229522515001e+21
221	that up the of the.	51.26032638549805	1.8284239012818435e+22
222	and.	24.411996841430664	39994062455.536705
223	who the can on.	44.54497146606445	2.216334486769744e+19
224	with that can to.	43.87158823013306	1.1302868648957846e+19
225	all of the on the to.	46.82321119308472	2.163028522009771e+20
226	of.	24.220779418945312	33033215382.446884
227	and.	24.411996841430664	39994062455.536705
228	the up for.	36.46154308319092	6839856064971535.0
229	one of.	29.981915950775146	10494956777208.156
230	the on and to a.	50.567928314208984	9.148970518644998e+21
231	and the.	30.70160150527954	21554408994831.473
232	to the if.	35.93207931518555	4028132706331923.0
233	down the that to.	44.564571380615234	2.2602029581165564e+19
234	a and.	31.558632850646973	50785543368226.49
235	to a at a of the.	52.2306432723999	4.824809376410877e+22
236	to and in a up the.	56.51563739776611	3.5029139032509763e+24
237	a of how.	36.722228050231934	8876893416587544.0
238	of and to.	35.85454845428467	3727627824567610.5
239	the for to while.	46.72870635986328	1.9679738284353615e+20
240	and.	24.411996841430664	39994062455.536705
241	but and the on the.	50.239234924316406	6.58601177240171e+21
242	this to to in the.	51.21096420288086	1.7403602934836012e+22
243	an a with two.	43.74256658554077	9.934712243292183e+18
244	one for the for.	40.3714714050293	3.412771862929995e+17
245	with that through.	37.258174896240234	1.5171194046881258e+16
246	an both while and the.	57.21905517578125	7.078152617487605e+24
247	an a that of a.	46.53383255004883	1.619521426999117e+20
248	an may one or as a and a.	68.90320205688477	8.40002229537824e+29
249	some for for.	42.828680992126465	3.983454143786852e+18
250	the can a a or.	57.84356689453125	1.3217274690423683e+25
251	an a that can or.	54.30365753173828	3.8351187259825556e+23
252	skin a and.	45.474409103393555	5.614162014332855e+19
253	some to.	36.44824504852295	6749501522319654.0
254	can or in.	38.73061466217041	6.614427011679727e+16
255	the of a or.	47.421629428863525	3.935065664338492e+20
256	a if a by or.	55.94892120361328	1.9875027908690064e+24
257	can to to or.	48.86498689651489	1.6664572129522646e+21
258	the of the on whether.	51.3490104675293	1.9979834994531278e+22
259	an or a for.	41.93997526168823	1.6379469335327227e+18
260	a can by a or.	53.599693298339844	1.89692880412592e+23
261	the the on.	37.82915210723877	2.685295074549847e+16
262	in of and the of.	45.870418548583984	8.341989872170498e+19
263	the a to and.	45.82841873168945	7.998883462905188e+19
264	the of a to a.	45.20526885986328	4.289422433439175e+19
265	of and.	31.938605308532715	74260872103810.5
266	by and.	31.40498161315918	43552212131924.77
