Index	Sentence	Surprisal	PPL
448	a of and.	6.437987327575684	625.1473160084287
449	as by.	6.4690351486206055	644.8612314568397
450	with at the.	6.952874183654785	1046.1522449038123
451	a a.	6.1317243576049805	460.2290763562221
452	a a after through.	6.978997707366943	1073.8415239814537
453	with and.	6.449676036834717	632.4973537729344
454	from in and.	6.717797756195068	826.9942616086377
455	a by to.	6.458400726318359	638.0398398609841
456	must before can.	7.657899379730225	2117.3050998796057
457	as and from.	5.9134039878845215	369.9633652448885
458	from and.	6.936496734619141	1029.1584769521744
459	that a.	6.648923397064209	771.952791357931
460	for the of and.	6.227975368499756	506.72850572606757
461	and and for.	5.982126235961914	396.28206218985116
462	can and.	6.606379508972168	739.7997259587586
463	a a that above.	6.153260707855225	470.24823171006307
464	than and at the.	6.328456878662109	560.2913289152114
465	a of to.	6.414040565490723	610.3548842690716
466	who or up.	6.950279235839844	1043.4410536430964
467	the the in when.	6.538519382476807	691.2623248487047
468	the to and with.	5.791903018951416	327.6359288702607
469	the for and.	6.580715179443359	721.0548284808254
470	by in the.	6.0189008712768555	411.12646638995886
471	a a with a for.	6.024435997009277	413.40841267704707
472	a but can of or.	6.594126224517822	730.7900611977936
473	a and a for.	5.491490840911865	242.6186431682071
474	can or or on.	6.425264835357666	617.2442640041118
475	the of another with.	6.812646389007568	909.2739182635576
476	a because the of.	6.374475955963135	586.677905312421
477	in or in.	5.361443996429443	213.0323423985866
478	a a or the.	6.219958782196045	502.6825121239913
479	a from the in.	5.794942855834961	328.63340396389884
480	a and a of.	5.603156566619873	271.2813750682244
481	as.	5.972684383392334	392.55803391161436
482	at from a.	6.629730224609375	757.2778481551616
483	a a that in and.	6.450374126434326	632.9390477504321
484	and a.	6.021092891693115	412.028652441826
485	can the if.	6.810612678527832	907.4265974615778
486	and.	6.102999210357666	447.19699863477433
487	a an with a.	6.584753036499023	723.9722308705925
488	the of a and in.	5.8569016456604	349.63915804975204
489	a inside which the.	7.085763454437256	1194.8350895155195
490	and and must after.	6.424419403076172	616.7226463050454
491	the a by of a.	6.2952961921691895	542.0163636224261
492	a a to a.	5.550100326538086	257.2633649538691
493	the an and to the.	5.824821472167969	338.6006780366599
494	the and can.	6.145286560058594	466.51331399325085
495	that in.	6.616650581359863	747.4374190008282
496	and in and during the.	6.046657562255859	422.6978250801481
497	and.	6.102999210357666	447.19699863477433
498	and.	6.102999210357666	447.19699863477433
499	the a that in or.	6.7234673500061035	831.6962998842673
500	a of.	6.598031044006348	733.6492431324748
501	by or with into.	6.974123477935791	1068.6201095444058
502	of the or in.	6.104268550872803	447.7650043234403
503	a a that in.	6.378796100616455	589.2179213962332
504	on or.	6.3999223709106445	601.798319003254
505	and of.	6.199716567993164	492.60940003398036
506	in of and.	6.379594326019287	589.6884378730147
507	a a to and.	6.30684232711792	548.31082613023
508	some can a at.	7.6398749351501465	2079.4837299874
509	a can and for of.	6.348716735839844	571.7585208176955
510	a and on.	5.358369827270508	212.37845054378357
511	a a that on the and a with.	5.847283363342285	346.2923509871889
512	the the around the as through the.	6.769609451293945	870.971670699212
513	in and with.	5.575440406799316	263.8657383165013
514	can in and the.	6.771249771118164	872.4015151775138
515	a that from to the and to.	6.016700267791748	410.2227347973524
516	or and and a.	5.940006732940674	379.9374876260941
