,1LocalWordSwap,3LocalWordSwaps,5LocalWordSwaps,7LocalWordSwaps,ReverseOrder,LowPMI,LowPMIRand,manipulation
1LocalWordSwap,1.0,0.9924589611742529,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,word-order
3LocalWordSwaps,0.9924589611742529,1.0,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,word-order
5LocalWordSwaps,0.9418235972394811,0.9418235972394811,1.0,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,word-order
7LocalWordSwaps,0.9418235972394811,0.9418235972394811,0.9418235972394811,1.0,0.9418235972394811,0.9418235972394811,0.9418235972394811,word-order
ReverseOrder,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,1.0,0.9418235972394811,0.9418235972394811,word-order
LowPMI,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,1.0,0.9418235972394811,word-order
LowPMIRand,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,0.9418235972394811,1.0,word-order
