condition,ttest2original,adjusted_pvals2original,cohensd2original,ttest2random,adjusted_pvals2random,cohensd2random
1LocalWordSwap,0.815899089605874,0.796616831544729,0.36488116542778676,-2.002121820624473,0.07822371009903699,-0.8953760980303912
3LocalWordSwaps,0.8280096717400194,0.796616831544729,0.37029718240759246,-2.046741534910715,0.07822371009903699,-0.9153306408865246
5LocalWordSwaps,0.6188325930296372,0.796616831544729,0.27675034894134626,-2.5390543445712503,0.07197666848464314,-1.1354996226054979
7LocalWordSwaps,0.27690091811605055,0.8728508295390596,0.12383385518791841,-2.3258587161384776,0.07445738241161436,-1.0401556390692046
ReverseOrder,1.403323779608227,0.796616831544729,0.6275854731291843,-1.391095917178609,0.18115381655738527,-0.6221170068067586
LowPMI,0.16233458883760543,0.8728508295390596,0.07259823514807286,-2.7692884602227825,0.07197666848464314,-1.2384634492727729
LowPMIRand,0.5801400581948982,0.796616831544729,0.25944652131889523,-1.9490459224434304,0.07822371009903699,-0.8716398347704587
KeepContentW,0.5382337606201839,0.5970091105814097,0.24070545530641613,-2.1117877834113514,0.09568731126941171,-0.944420207552277
KeepNVAdj,0.8605403583636809,0.518064900202844,0.3848453477366424,-2.0245353773588466,0.09568731126941171,-0.9053997453255149
KeepNV,0.8353859596471831,0.518064900202844,0.3735959586439981,-1.8789079284901902,0.09568731126941171,-0.8402731703134771
KeepN,1.7001080456186541,0.26581095343876027,0.7603114318195249,-0.9483267581029962,0.3555223535555563,-0.4241046192000599
KeepFunctionW,10.825036740143931,1.300748897794678e-08,4.841103601978912,6.4959304658312815,2.0739884398795055e-05,2.905068419742124
RandSentFromPassage,2.0740930475134687,0.052692050895975236,0.927562609179965,-1.0766103707718129,0.3159598720136062,-0.4814747948654039
RandSentFromTopic,4.525903681273697,0.00039243465007407063,2.024045658188906,1.031517522692029,0.3159598720136062,0.46130866014431166
RandSent,5.55986444916982,8.430216686045213e-05,2.486446970805629,2.149951071468795,0.13620395827986415,0.961487348820548
RandWordList,2.716300342507065,0.014152760509998849,1.2147664426303515,0.0,1.0,0.0
