,1LocalWordSwap,3LocalWordSwaps,5LocalWordSwaps,7LocalWordSwaps,ReverseOrder,LowPMI,LowPMIRand,manipulation
1LocalWordSwap,1.0,0.21453146819026386,0.17927111489023478,0.17927111489023478,0.04793745906259625,0.21453146819026386,0.11578654918416768,word-order
3LocalWordSwaps,0.21453146819026386,1.0,0.8621825921436248,0.8621825921436248,0.15670784095141121,0.95836564541252,0.2879203612840761,word-order
5LocalWordSwaps,0.17927111489023478,0.8621825921436248,1.0,0.95836564541252,0.17927111489023478,0.8621825921436248,0.41601880669331637,word-order
7LocalWordSwaps,0.17927111489023478,0.8621825921436248,0.95836564541252,1.0,0.17927111489023478,0.8621825921436248,0.42291404394126025,word-order
ReverseOrder,0.04793745906259625,0.15670784095141121,0.17927111489023478,0.17927111489023478,1.0,0.14282485547195264,0.5364287827086026,word-order
LowPMI,0.21453146819026386,0.95836564541252,0.8621825921436248,0.8621825921436248,0.14282485547195264,1.0,0.24644639434985266,word-order
LowPMIRand,0.11578654918416768,0.2879203612840761,0.41601880669331637,0.42291404394126025,0.5364287827086026,0.24644639434985266,1.0,word-order
