Experimental Design 1,Experimental Design 2,T-test statistic,Adjusted pvalue,Significance,Cohen's d,Unadjusted p value,Manipulation
TrainIntact-TestPerturbed_contextualized,TrainIntact-TestPerturbed_decontextualized,7.279,0.0,***,3.255,0.0,original
TrainIntact-TestPerturbed_contextualized,TrainPerturbed-TestPerturbed_contextualized,-0.0,1.0,n.s.,0.0,1.0,original
TrainIntact-TestPerturbed_contextualized,TrainPerturbed-TestPerturbed_decontextualized,6.094,0.0,***,2.725,0.0,original
TrainIntact-TestPerturbed_decontextualized,TrainPerturbed-TestPerturbed_contextualized,-7.279,0.0,***,-3.255,0.0,original
TrainIntact-TestPerturbed_decontextualized,TrainPerturbed-TestPerturbed_decontextualized,-0.751,0.555,n.s.,-0.336,0.462,original
TrainPerturbed-TestPerturbed_contextualized,TrainPerturbed-TestPerturbed_decontextualized,6.094,0.0,***,2.725,0.0,original
