,"TrainIntact-TestPerturbed
contextualized","TrainIntact-TestPerturbed
decontextualized","TrainPerturbed-TestPerturbed
contextualized","TrainPerturbed-TestPerturbed
decontextualized",manipulation
"TrainIntact-TestPerturbed
contextualized",1.0,2.7449800242618902e-06,0.9999999999999973,1.3947942546294678e-05,original
"TrainIntact-TestPerturbed
decontextualized",2.7449800242618902e-06,1.0,2.7449800242618902e-06,0.5538273084107105,original
"TrainPerturbed-TestPerturbed
contextualized",0.9999999999999973,2.7449800242618902e-06,1.0,1.3947942546294678e-05,original
"TrainPerturbed-TestPerturbed
decontextualized",1.3947942546294678e-05,0.5538273084107105,1.3947942546294678e-05,1.0,original
