,"TrainIntact-TestPerturbed
contextualized","TrainIntact-TestPerturbed
decontextualized","TrainPerturbed-TestPerturbed
contextualized","TrainPerturbed-TestPerturbed
decontextualized",manipulation
"TrainIntact-TestPerturbed
contextualized",1.0,0.48421520075868185,3.130578924251707e-08,0.22569209172491367,semantic-distance
"TrainIntact-TestPerturbed
decontextualized",0.48421520075868185,1.0,1.5268053181655316e-10,0.48421520075868185,semantic-distance
"TrainPerturbed-TestPerturbed
contextualized",3.130578924251707e-08,1.5268053181655316e-10,1.0,1.2357672104105674e-14,semantic-distance
"TrainPerturbed-TestPerturbed
decontextualized",0.22569209172491367,0.48421520075868185,1.2357672104105674e-14,1.0,semantic-distance
