,nouns,nounsverbs,nounsverbsadj,contentwords,functionwords,manipulation
nouns,1.0,0.0006159887964813761,0.0001973283740927896,4.901225097768483e-05,6.400062057198928e-10,information-loss
nounsverbs,0.0006159887964813761,1.0,0.35155143688013685,0.1797306644683482,4.414745344798391e-11,information-loss
nounsverbsadj,0.0001973283740927896,0.35155143688013685,1.0,0.6839883035434764,9.101276303913485e-11,information-loss
contentwords,4.901225097768483e-05,0.1797306644683482,0.6839883035434764,1.0,4.414745344798391e-11,information-loss
functionwords,6.400062057198928e-10,4.414745344798391e-11,9.101276303913485e-11,4.414745344798391e-11,1.0,information-loss
